numberOfPlot,street,buildingCount
14,Дарьяльская улица,2
14,Даурская улица,5
14,Дачная улица,56
14,Дачное шоссе,11
14,улица Движенцев,6
14,Двинская улица,2
14,улица Дегтярева,4
14,улица Дежнева,0
14,переулок Дежнева,0
14,улица Декабристов,108
14,Декадная улица,0
14,Декоративная улица,1
14,улица Декоративный питомник,0
14,улица Демакова,34
14,переулок Дементьева,1
14,улица Дементьева,1
14,Демократическая улица,1
14,улица Демьяна Бедного,26
14,Демьяновская улица,1
14,улица Дениса Давыдова,23
14,Деповская улица,2
14,Депутатская улица,18
14,улица Державина,35
14,Десантная улица,1
14,Детский проезд,13
14,улица Джамбула,1
14,проспект Дзержинского,137
14,Дивизионная улица,0
14,Дивногорская улица,22
14,проспект Димитрова,25
14,улица Динамовцев,16
14,Диспетчерская улица,2
14,улица Дмитрия Донского,53
14,улица Дмитрия Шамшурина,29
14,Дмитрия Шмонина,3
14,улица Дмитрия Шмонина,3
14,Днепровская улица,27
14,Днепрогэсовская улица,9
14,Добрая улица,0
14,Добровольческая улица,35
14,улица Добролюбова,128
14,Добросельская улица,3
14,улица Доватора,79
14,улица Докучаева,4
14,Донбасская улица,2
14,Дорожная улица,8
14,улица Дорожная СНТ "Строймашевец",0
14,улица Достижений,1
14,улица Достоевского,15
14,улица Дружбы,5
14,Дружная улица,0
14,улица Дубравы,78
14,улица Дукача,4
14,улица Дунаевского,29
14,Дунайская улица,73
14,улица Дуси Ковальчук,173
14,Дюканова улица,1
14,улица Дягтерева,1
15,улица Евгения Середкина,1
15,Европейская улица,13
15,Еловая улица,1
15,улица Еловый Бор,1
15,Елоховская улица,1
15,Ельнинская улица,2
15,Ельцовская улица,30
15,Ереванская улица,26
15,Ереснинская улица,4
15,улица Ермака,6
15,улица Есенина,80
16,Железнодорожная улица,41
16,улица Железняка,3
16,Жемчужная улица,19
16,улица Жернакова,1
16,Житомирская улица,0
16,улица Жуковского,133
16,улица Журавлева,2
16,Журинская улица,17
17,Забайкальская улица,2
17,улица Забалуева,87
17,Заветная улица,0
17,Загородная улица,29
17,Закаменский микрорайон,9
17,Закарпатская улица,15
17,улица Залесского,25
17,Заобская улица,4
17,Заозерная улица,0
17,Западная улица,14
17,Зареченская улица,1
17,Заречная улица,20
17,улица Заслонова,1
17,Затонная улица,1
17,Звездная улица,22
17,Звенигородская улица,5
17,Зейская улица,0
17,Зеленая улица,9
17,улица Зеленая Горка,56
17,Зеленодолинская улица,1
17,улица Зеленодолинская,7
17,Зеленхозовская улица,7
17,микрорайон Зеленый Бор,6
17,улица Земнухова,14
17,Зенитная улица,44
17,Зеркальная улица,5
17,Зимняя улица,0
17,Златоустовская улица,0
17,улица Зои Космодемьянской,0
17,Золотистый переулок,0
17,Золотодолинская улица,42
17,Золоторожская улица,10
17,Зональная улица,4
17,Зоологическая улица,5
17,улица Зорге,193
17,Зыряновская улица,29
18,улица Ивана Севастьянова,2
18,улица Ивана Титкова,1
18,улица Иванова,62
18,улица Ивлева,11
18,улица Игарская,1
18,Игарская улица,51
18,Изоляторная улица,0
18,Изумрудная улица,0
18,улица Изыскателей,9
18,Илимская улица,0
18,улица Ильича,16
18,Ильменская улица,2
18,Инвентарная улица,0
18,Индустриальная улица,11
18,инженера Будагова площадь,0
18,Инженерная улица,17
18,Иноземная улица,6
18,Инская улица,14
18,улица Инская,1
18,Институтская улица,4
18,Инструментальный переулок,6
18,Инюшенская улица,2
18,Ионосферная улица,13
18,Ипподромская улица,37
18,Иркутская улица,1
18,Иртышская улица,2
18,улица Искры,31
18,Историческая улица,2
18,Истринская улица,2
19,Кавалерийская улица,28
19,Кавалерийский переулок,0
19,Кавалькадная улица,0
19,Кавказская улица,41
19,Кавказский переулок,0
19,Казачинская улица,7
19,Каинская улица,11
19,улица Кайтымовская,4
19,Калибровая улица,0
19,улица Калинина,5
19,площадь Калинина,0
19,Калиновая улица,0
19,Калужская улица,5
19,Каменогорская улица,10
19,Каменская улица,44
19,Каменский тракт,1
19,улица Каменский Тракт,1
19,Каменское шоссе,1
19,Камчатская улица,10
19,Камышенская улица,58
19,переулок Камышенский Лог,46
19,улица Капитана Сигова,4
19,Капитанская улица,5
19,улица Караваева,5
19,улица Карамзина,4
19,улица Карбышева,0
19,Карельская улица,4
19,улица Карла Либкнехта,187
19,проспект Карла Маркса,82
19,площадь Карла Маркса,11
19,Карпатская улица,4
19,улица Карпинского,13
19,Карская улица,3
19,Карьермочищенская улица,0
19,переулок Карьерный Лог,2
19,Каспийская улица,1
19,Катодная улица,30
19,Катунская улица,1
19,Каунасская улица,11
19,Каховская улица,2
19,улица Качалова,0
19,Каширская улица,15
19,Каштановая улица,1
19,Кедровая улица,31
19,Кемеровская улица,5
19,Керченская улица,4
19,Киевская улица,35
19,Кирзаводская улица,9
19,площадь Кирова,0
19,улица Кирова,207
19,улица Кирпичная Горка,1
19,Киселевская улица,1
19,Кисловодская улица,5
19,Клеверная улица,2
19,Кленовая улица,38
19,Клубная улица,16
19,Ключевая улица,3
19,улица Ключ-Камышенское Плато,44
19,улица Ковалевского,1
19,Коллективная улица,1
19,Коломенская улица,5
19,Колхидская улица,24
19,Колхозная улица,1
19,Колыванская улица,8
19,Колыванский переулок,0
